auto_index	 NMOD: ADP 1	 NMOD: AUX 1	 NMOD: DET 1	 NMOD: NOUN 1	 ROOT: AUX 1	 ROOT: AUX 2	 ROOT: SCONJ 1	 ROOT: VERB 1	 ROOT: VERB 2	 ROOT: VERB 3	 ROOTnoun: ADJ 1	 ROOTnoun: ADP 1	 ROOTnoun: ADV 1	 ROOTnoun: DET 1	 ROOTnoun: NOUN 1	 ROOTnoun: PART 1	 ROOTnoun: PART 2	 acl: VERB 1	 advcl: ADV 1	 advcl: NOUN 1	 advcl: NOUN 2	 advcl: PRON 1	 advcl: VERB 1	 advmod: ADV 1	 advmod: PART 1	 amod: ADJ 1	 aux:pass: AUX 1	 ccomp: NOUN 1	 ccomp: NOUN 2	 ccomp: PART 1	 ccomp: PRON 1	 ccomp: PRON 2	 ccomp: VERB 1	 ccomp: VERB 2	 compound: NOUN 1	 compound: PROPN 1	 conj: ADV 1	 conj: NOUN 1	 conj: PRON 1	 conj: VERB 1	 cop: AUX 1	 csubj: NOUN 1	 csubj: VERB 1	 det: DET 1	 discourse: INTJ 1	 expl: PRON 1	 iobj: PRON 1	 nsubj: NOUN 1	 nsubj: PRON 1	 nsubj:pass: DET 1	 nsubj:pass: NOUN 1	 obj: ADJ 1	 obj: DET 1	 obj: NOUN 1	 obj: NOUN 2	 obj: NUM 1	 obj: PRON 1	 obj: PROPN 1	 obj: VERB 1	 obl: ADJ 1	 obl: ADP 1	 obl: ADP 2	 obl: ADV 1	 obl: DET 1	 obl: NOUN 1	 obl: NOUN 2	 obl: NOUN 3	 obl: NUM 1	 obl: PRON 1	 obl: PROPN 1	 obl: VERB 1	 obl:npmod: NOUN 1	 obl:tmod: ADJ 1	 obl:tmod: DET 1	 obl:tmod: NOUN 1	 obl:tmod: NOUN 2	 obl:tmod: NUM 1	 obl:tmod: PROPN 1	 parataxis: NOUN 1	 parataxis: NOUN 2	 parataxis: PRON 1	 parataxis: PRON 2	 parataxis: VERB 1
19333	 0	0	0	0	 0	0	 0	134	239	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	295	 0	 0	 0	153	173	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
2443	 0	0	0	0	304	0	 0	197	135	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	133	 0	 0	155	 0	 0	 0	 0	 0
54517	 0	0	0	0	108	0	 0	197	343	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	290	 0	 0	 0	 0	 0	 0	228	 0	 0	 0	133	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
2982	 0	 0	 0	 0	108	 0	0	197	239	 0	 0	 0	0	 0	 0	209	 0	0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	0	0	 0	0	 0	 0	 0	0	0	0	0	0	 0	0	0	 0	 0	0	0	 0	180	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	295	 0	 0	 0	240	173	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0
1906	 0	0	0	0	 0	0	 0	183	135	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	145	 0	 0	192	 0	 0	222	112	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
7888	 0	0	0	0	 0	0	 0	 0	 0	 0	105	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	255	291	239	 0	 0	140	 0	 0	 0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
1658	 0	0	0	0	108	0	 0	233	343	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	116	 0	 0	 0	133	 0	 0	 0	0	126	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
53573	 0	0	0	0	304	0	 0	197	135	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	126	 0	 0	 0	 0	 0	 0	192	 0	 0	222	292	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
1394	 0	0	0	0	108	0	 0	197	135	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	277	 0	 0	126	 0	 0	 0	 0	 0
906	 0	0	0	0	 0	0	 0	233	343	 0	 0	 0	0	0	 0	209	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	 0	180	0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	277	 0	 0	298	 0	 0	 0	 0	 0
